province_norm,harvest_year,yield_kg_dekar,province,tmean_season,tmax_season,tmin_season,rain_season_sum,rad_season_mean,tmean_mam,tmax_mam,tmin_mam,rain_mam_sum,rad_mam_mean,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
ADANA,2005,353.0,Adana,13.420282894736845,18.705197368421054,8.844480263157896,446.544,16.528552631578947,13.332021739130436,18.66730434782609,8.417282608695652,144.724,19.89841304347826,137.36970373627528,0.7625299234124777,0.4533653588655958,0.5967809238149808,0.284737616806136
ADANA,2006,356.0,Adana,13.483440789473685,18.863671052631577,8.832749999999999,436.55,16.38799342105263,13.816760869565218,19.038260869565217,8.98645652173913,117.544,19.375565217391305,137.23345913789942,0.7312576690704012,0.4529157067257401,0.5525963875991564,0.2788592550720705
ADANA,2007,387.0,Adana,13.61508552631579,19.20098026315789,8.823072368421052,424.65,16.899276315789475,13.553217391304347,19.112978260869564,8.412521739130435,138.128,19.73715217391304,130.30891692093803,0.7323694450699327,0.4300624320823037,0.5435316860185914,0.2613636304915778
ADANA,2008,406.0,Adana,13.755134426229509,19.40585573770492,8.80496393442623,376.37,17.06152786885246,14.713434782608696,20.38328260869565,9.51408695652174,87.502,19.983391304347823,128.47243715471004,0.70680905636344,0.4226067011668084,0.5451448228402279,0.2668507895880613
ADANA,2009,357.0,Adana,13.50304605263158,18.68092763157895,8.957519736842105,492.162,16.228578947368423,12.614326086956522,17.693021739130437,7.791413043478261,167.424,19.784021739130434,133.5718885049935,0.7070579366926277,0.4408313151979982,0.5269338049114956,0.2756716510512358
ADANA,2010,328.0,Adana,14.513592105263156,19.50955921052632,10.133980263157897,541.174,15.689111842105262,14.296217391304348,19.59941304347826,9.344934782608696,125.672,19.596260869565217,144.28346749907556,0.7365305720689183,0.4761830610530542,0.5348565906872939,0.2944468108246706
ADANA,2011,359.0,Adana,13.984934210526315,19.15444078947368,9.536361842105263,579.826,16.071019736842107,12.416978260869566,17.235934782608698,7.915869565217391,213.962,18.66545652173913,132.54807161561837,0.7224881230055673,0.4374523815696972,0.5480058874323016,0.2727253992272646
ADANA,2012,395.0,Adana,12.602983606557377,17.929737704918033,7.956688524590164,589.724,16.435239344262296,12.55458695652174,17.5075,8.03295652173913,112.478,19.343695652173917,131.4557372612699,0.6913945405220074,0.4324201883594414,0.515068919683148,0.2639016540753658
ADANA,2013,371.0,Adana,14.144973684210528,19.09684210526316,9.784605263157896,642.816,16.310125,14.164195652173913,19.113521739130437,9.474369565217392,176.048,19.77663043478261,144.6498192196268,0.7274070198612071,0.4773921426390327,0.5445184758632664,0.2937699399000834
ADANA,2014,286.0,Adana,14.247815789473686,19.95104605263158,9.53320394736842,266.46,16.895848684210524,14.518195652173914,20.108978260869566,9.618673913043478,112.048,19.800065217391303,128.2285375734086,0.6843721462325608,0.4231964936416126,0.5059654900558864,0.2606704759297997
ADANA,2015,390.0,Adana,13.238197368421051,18.13919736842105,8.916355263157895,626.662,15.945315789473684,12.874630434782608,17.66619565217391,8.327043478260869,168.596,19.449847826086955,137.8826388007194,0.7163117817034164,0.4550582138637603,0.5393151910790841,0.2814998397712895
ADANA,2016,356.0,Adana,14.522445901639342,20.13806557377049,9.722931147540985,365.426,16.831259016393442,14.692282608695653,20.32828260869565,9.549434782608696,115.406,20.07128260869565,131.3437088437758,0.7205788518633807,0.4320516738282099,0.537756681294067,0.2683390119135181
ADANA,2017,386.0,Adana,13.199532894736842,18.687565789473684,8.369815789473684,446.658,17.019473684210528,13.32958695652174,18.57528260869565,8.478304347826088,176.14,19.39721739130435,126.713866294856,0.7081436427167741,0.4181975785308779,0.5428890736581987,0.2649991590288475
ADANA,2018,390.0,Adana,14.853822368421053,20.063809210526315,10.430776315789474,552.616,16.464809210526315,15.761152173913043,21.00804347826087,10.888130434782608,125.222,20.110478260869566,144.9355130952554,0.7445566908109833,0.4783350267170149,0.5614157651311834,0.30077118419614
ADANA,2019,372.0,Adana,13.65809210526316,18.388605263157896,9.414263157894736,755.116,15.848611842105264,13.146043478260868,17.873282608695654,8.65717391304348,143.058,19.38454347826087,133.63604209036856,0.6915211509848672,0.4410430432025363,0.5052413569882024,0.2661536033166641
ADANA,2020,392.0,Adana,14.058459016393442,19.209167213114757,9.55775737704918,600.444,16.35790819672131,13.653434782608697,18.69095652173913,8.966804347826088,140.206,19.68260869565217,137.54500940865273,0.7110235740836045,0.4524506888442514,0.5241186446576938,0.2768621652855143
ADANA,2021,446.0,Adana,14.860144736842107,20.55042763157895,10.048934210526316,344.938,17.28963815789474,14.258847826086958,20.058456521739128,9.101434782608695,94.144,20.591434782608697,135.71027400196957,0.7024844332819888,0.4478886930758069,0.538256682802969,0.2885478299283355
ADANA,2022,385.0,Adana,13.465868421052631,18.98153947368421,8.627269736842106,522.348,16.505407894736845,12.564282608695652,18.031739130434783,7.390913043478261,116.908,19.811478260869563,134.47216877753303,0.6861947974154803,0.4438025372195815,0.4942863167906406,0.2716293345490739
ADANA,2023,324.0,Adana,14.513572368421054,20.074565789473684,9.79217105263158,373.31,16.319276315789477,13.906934782608698,19.117195652173912,9.192347826086957,171.306,18.788586956521737,138.40704086072262,0.6936551415678223,0.4567889137317576,0.497198119945968,0.277547359283416
ADANA,2024,355.0,Adana,16.22391475409836,21.53659672131148,11.585377049180329,467.936,16.528308196721312,15.343152173913042,20.669565217391305,10.4995,145.276,19.55913043478261,143.8655677669593,0.7089051720858018,0.47324199923342,0.534833996834428,0.2991982252209247
ADIYAMAN,2005,225.0,Adiyaman,10.968513157894735,17.206901315789473,5.351032894736842,363.828,16.85340789473684,11.488717391304348,17.85013043478261,5.446239130434782,115.31,20.47058695652174,94.16685033985334,0.5884209425392275,0.3107816842899454,0.4144704905607945,0.1917839713451852
ADIYAMAN,2006,235.0,Adiyaman,11.383381578947368,17.75136184210526,5.668434210526316,347.906,16.655197368421053,12.293478260869565,18.667586956521745,6.260826086956522,106.78,20.074413043478263,104.14339870141973,0.623190546070153,0.3437075864733325,0.4466890835461806,0.2164069419678521
ADIYAMAN,2007,236.0,Adiyaman,11.11321052631579,17.611980263157896,5.353263157894737,324.512,16.74191447368421,11.470347826086956,17.913304347826088,5.348326086956521,108.182,18.89969565217391,88.64003849105164,0.5720483454146522,0.2925413811585864,0.4026217314298612,0.1805093910649038
ADIYAMAN,2008,170.0,Adiyaman,11.290898360655738,18.05201967213115,5.29696393442623,260.4,17.369245901639346,13.408152173913043,20.408652173913044,6.833673913043478,81.528,20.88754347826087,89.54134132117765,0.532315402329961,0.2945438859249267,0.3735927258908539,0.1818932366778883
ADIYAMAN,2009,255.0,Adiyaman,11.024138157894738,17.31395394736842,5.377171052631579,288.586,16.31197368421053,10.634630434782608,17.05091304347826,4.391326086956522,95.924,20.007978260869564,105.33025679235742,0.618835965453892,0.3476246098757667,0.465450943627502,0.2188516410202156
ADIYAMAN,2010,237.0,Adiyaman,12.739302631578948,18.669953947368423,7.264973684210527,373.234,16.27680263157895,12.590847826086955,18.95582608695652,6.294021739130434,81.428,20.323434782608697,109.3345231372756,0.6166525151496096,0.3608400103540441,0.4173615014425344,0.2210983526636102
ADIYAMAN,2011,318.0,Adiyaman,11.834888157894737,18.17782236842105,6.316842105263158,350.772,16.522559210526317,10.436239130434783,16.252717391304348,5.0587608695652175,173.364,18.874521739130437,97.49408500872684,0.6211365715599276,0.3217626567944782,0.4574078543775318,0.2028432906981268
ADIYAMAN,2012,273.0,Adiyaman,9.967239344262294,16.160727868852458,4.413324590163935,351.66200000000003,16.589095081967212,10.578847826086957,16.77158695652174,4.74354347826087,81.744,19.825108695652176,92.7999648889054,0.5591290108639635,0.3052630423977157,0.3841318080682523,0.1869492013454841
ADIYAMAN,2013,285.0,Adiyaman,11.576434210526315,17.328907894736844,6.276967105263158,514.018,16.566782894736843,11.785695652173914,17.475847826086955,6.016434782608696,135.938,20.165869565217392,116.73790904280432,0.6218590707717504,0.385273627203975,0.4210949068460213,0.2320351470014255
ADIYAMAN,2014,273.0,Adiyaman,12.038848684210526,18.657940789473685,6.279296052631579,255.172,17.371394736842106,12.912891304347829,19.563717391304348,6.7961086956521735,110.694,20.61882608695652,95.53224686108004,0.611053036414171,0.3152879434359084,0.4225428841376456,0.1929457535816649
ADIYAMAN,2015,295.0,Adiyaman,10.911335526315789,16.667690789473685,5.617098684210526,591.192,16.186651315789476,10.567108695652172,16.112369565217392,5.078847826086957,181.944,19.59117391304348,125.72462005827802,0.6736310316215935,0.4149327394662638,0.4881167653513049,0.2595474734183392
ADIYAMAN,2016,280.0,Adiyaman,11.903219672131147,18.353986885245902,6.132,341.428,17.102537704918035,12.720217391304349,19.447304347826087,6.204456521739131,90.494,20.986065217391307,98.20401783158036,0.6148581002254002,0.323039532340725,0.4418226502428078,0.2023694815272871
ADIYAMAN,2017,297.0,Adiyaman,10.805552631578948,17.24395394736842,4.940388157894737,347.544,17.41817105263158,11.269934782608695,17.472043478260872,5.216043478260869,174.0,19.96034782608696,99.48431792923095,0.6356185798141655,0.32833108227469,0.4678214798186737,0.2088323204280359
ADIYAMAN,2018,299.0,Adiyaman,12.544230263157894,18.73744736842105,6.936480263157895,441.688,16.74516447368421,13.463478260869566,19.42904347826087,7.6145,118.174,20.148521739130437,110.63386405442556,0.6405162100231795,0.3651282642060239,0.4698817478912169,0.2293251370020756
ADIYAMAN,2019,294.0,Adiyaman,11.042776315789473,16.34459210526316,6.012269736842105,792.57,15.696269736842106,10.554913043478262,15.680804347826086,5.351739130434782,227.178,19.16832608695652,112.0934379553378,0.6217163456601594,0.3699453397865934,0.4323928635395073,0.225493248498469
ADIYAMAN,2020,336.0,Adiyaman,11.540360655737704,17.338819672131148,6.151849180327869,572.104,16.428439344262294,11.186239130434783,16.82786956521739,5.680847826086957,192.748,19.777717391304343,101.90239768325702,0.6366881010599783,0.3352052555370305,0.4542274534091854,0.208608034211421
ADIYAMAN,2021,311.0,Adiyaman,12.733736842105264,19.34775,6.746421052631578,303.662,17.62792763157895,12.964717391304347,19.869565217391305,6.267347826086956,56.502,21.332239130434782,114.42112736630756,0.6392964303402564,0.3776274830571203,0.4700371245039296,0.2443707711913667
ADIYAMAN,2022,307.0,Adiyaman,11.17421052631579,17.593565789473686,5.260644736842106,381.72,16.765736842105262,10.443652173913044,16.63017391304348,4.266913043478261,183.916,20.013195652173916,94.01555620143814,0.5769563925590236,0.3102823637011162,0.4018523096693107,0.1892021820545251
