province,harvest_year,tmean_season,tmax_season,tmin_season,rain_season_sum,rad_season_mean,tmean_mam,tmax_mam,tmin_mam,rain_mam_sum,rad_mam_mean
Adana,2005,13.420282894736843,18.705197368421054,8.844480263157896,446.544,16.528552631578947,13.332021739130436,18.667304347826086,8.417282608695652,144.724,19.89841304347826
Adana,2006,13.483440789473685,18.863671052631577,8.832749999999999,436.55,16.38799342105263,13.816760869565218,19.038260869565217,8.98645652173913,117.544,19.375565217391305
Adana,2007,13.61508552631579,19.200980263157895,8.823072368421052,424.65,16.899276315789475,13.553217391304347,19.112978260869564,8.412521739130435,138.12800000000001,19.737152173913042
Adana,2008,13.755134426229507,19.40585573770492,8.80496393442623,376.37,17.06152786885246,14.713434782608696,20.38328260869565,9.514086956521739,87.502,19.983391304347826
Adana,2009,13.50304605263158,18.68092763157895,8.957519736842105,492.162,16.228578947368423,12.614326086956522,17.693021739130437,7.791413043478261,167.424,19.784021739130434
Adana,2010,14.513592105263157,19.509559210526316,10.133980263157895,541.174,15.689111842105262,14.296217391304348,19.59941304347826,9.344934782608696,125.672,19.596260869565217
Adana,2011,13.984934210526315,19.154440789473682,9.536361842105263,579.826,16.071019736842107,12.416978260869566,17.235934782608698,7.915869565217391,213.96200000000002,18.66545652173913
Adana,2012,12.602983606557377,17.929737704918033,7.956688524590164,589.724,16.435239344262296,12.554586956521739,17.5075,8.03295652173913,112.47800000000001,19.343695652173913
Adana,2013,14.144973684210527,19.096842105263157,9.784605263157895,642.816,16.310125,14.164195652173913,19.113521739130434,9.474369565217392,176.048,19.77663043478261
Adana,2014,14.247815789473686,19.95104605263158,9.53320394736842,266.46,16.895848684210524,14.518195652173914,20.108978260869566,9.618673913043478,112.048,19.800065217391303
Adana,2015,13.238197368421051,18.13919736842105,8.916355263157895,626.662,15.945315789473685,12.874630434782608,17.66619565217391,8.327043478260869,168.596,19.449847826086955
Adana,2016,14.522445901639342,20.13806557377049,9.722931147540985,365.426,16.831259016393442,14.692282608695653,20.328282608695652,9.549434782608696,115.406,20.07128260869565
Adana,2017,13.199532894736842,18.687565789473684,8.369815789473684,446.658,17.019473684210528,13.32958695652174,18.57528260869565,8.478304347826088,176.14000000000001,19.39721739130435
Adana,2018,14.853822368421053,20.063809210526315,10.430776315789474,552.616,16.464809210526315,15.761152173913045,21.00804347826087,10.888130434782608,125.22200000000001,20.110478260869566
Adana,2019,13.65809210526316,18.388605263157896,9.414263157894737,755.116,15.848611842105264,13.146043478260868,17.873282608695654,8.65717391304348,143.058,19.38454347826087
Adana,2020,14.058459016393442,19.209167213114753,9.55775737704918,600.444,16.35790819672131,13.653434782608695,18.690956521739132,8.966804347826088,140.206,19.682608695652174
Adana,2021,14.860144736842107,20.55042763157895,10.048934210526317,344.938,17.28963815789474,14.258847826086958,20.058456521739128,9.101434782608695,94.144,20.591434782608697
Adana,2022,13.465868421052631,18.98153947368421,8.627269736842106,522.348,16.505407894736845,12.564282608695652,18.031739130434783,7.390913043478261,116.908,19.811478260869563
Adana,2023,14.513572368421054,20.074565789473684,9.792171052631579,373.31,16.319276315789477,13.906934782608698,19.117195652173912,9.192347826086957,171.306,18.788586956521737
Adana,2024,16.22391475409836,21.536596721311476,11.585377049180329,467.936,16.528308196721312,15.343152173913042,20.669565217391302,10.4995,145.276,19.55913043478261
