province_norm,harvest_year,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
ADANA,2005,137.36970373627528,0.7625299234124776,0.45336535886559587,0.5967809238149808,0.284737616806136
ADANA,2006,137.23345913789942,0.7312576690704012,0.4529157067257401,0.5525963875991564,0.2788592550720705
ADANA,2007,130.30891692093803,0.7323694450699328,0.43006243208230377,0.5435316860185914,0.2613636304915778
ADANA,2008,128.47243715471004,0.70680905636344,0.42260670116680843,0.5451448228402279,0.2668507895880613
ADANA,2009,133.5718885049935,0.7070579366926277,0.4408313151979982,0.5269338049114956,0.2756716510512358
ADANA,2010,144.28346749907556,0.7365305720689183,0.47618306105305425,0.5348565906872939,0.2944468108246706
ADANA,2011,132.54807161561837,0.7224881230055673,0.43745238156969724,0.5480058874323016,0.2727253992272646
ADANA,2012,131.4557372612699,0.6913945405220074,0.4324201883594414,0.515068919683148,0.2639016540753658
ADANA,2013,144.6498192196268,0.7274070198612071,0.4773921426390327,0.5445184758632664,0.2937699399000834
ADANA,2014,128.2285375734086,0.6843721462325608,0.42319649364161255,0.5059654900558864,0.2606704759297997
ADANA,2015,137.8826388007194,0.7163117817034164,0.4550582138637603,0.5393151910790841,0.2814998397712895
ADANA,2016,131.3437088437758,0.7205788518633807,0.4320516738282099,0.537756681294067,0.2683390119135181
ADANA,2017,126.713866294856,0.7081436427167741,0.4181975785308779,0.5428890736581987,0.2649991590288475
ADANA,2018,144.9355130952554,0.7445566908109833,0.4783350267170149,0.5614157651311834,0.30077118419614
ADANA,2019,133.63604209036856,0.6915211509848672,0.4410430432025363,0.5052413569882024,0.2661536033166641
ADANA,2020,137.54500940865273,0.7110235740836044,0.4524506888442514,0.5241186446576938,0.2768621652855143
ADANA,2021,135.71027400196957,0.702484433281989,0.4478886930758069,0.538256682802969,0.2885478299283355
ADANA,2022,134.47216877753303,0.6861947974154803,0.44380253721958157,0.49428631679064056,0.2716293345490739
ADANA,2023,138.40704086072262,0.6936551415678223,0.4567889137317577,0.497198119945968,0.277547359283416
ADANA,2024,143.8655677669593,0.7089051720858018,0.47324199923342,0.534833996834428,0.2991982252209247
ADIYAMAN,2005,94.16685033985334,0.5884209425392275,0.3107816842899454,0.4144704905607945,0.1917839713451852
ADIYAMAN,2006,104.14339870141973,0.623190546070153,0.34370758647333244,0.4466890835461806,0.2164069419678521
ADIYAMAN,2007,88.64003849105164,0.5720483454146522,0.2925413811585864,0.4026217314298612,0.1805093910649038
ADIYAMAN,2008,89.54134132117765,0.532315402329961,0.2945438859249267,0.3735927258908539,0.1818932366778883
ADIYAMAN,2009,105.33025679235743,0.618835965453892,0.3476246098757667,0.46545094362750195,0.2188516410202156
ADIYAMAN,2010,109.3345231372756,0.6166525151496096,0.3608400103540441,0.4173615014425344,0.2210983526636102
ADIYAMAN,2011,97.49408500872684,0.6211365715599276,0.3217626567944782,0.4574078543775318,0.20284329069812676
ADIYAMAN,2012,92.7999648889054,0.5591290108639635,0.3052630423977157,0.3841318080682523,0.1869492013454841
ADIYAMAN,2013,116.73790904280432,0.6218590707717504,0.385273627203975,0.4210949068460213,0.2320351470014255
ADIYAMAN,2014,95.53224686108003,0.611053036414171,0.3152879434359084,0.4225428841376456,0.1929457535816649
ADIYAMAN,2015,125.72462005827802,0.6736310316215935,0.41493273946626374,0.4881167653513048,0.2595474734183392
ADIYAMAN,2016,98.20401783158036,0.6148581002254002,0.323039532340725,0.4418226502428078,0.2023694815272871
ADIYAMAN,2017,99.48431792923095,0.6356185798141655,0.32833108227469,0.4678214798186738,0.2088323204280359
ADIYAMAN,2018,110.63386405442557,0.6405162100231795,0.3651282642060239,0.46988174789121684,0.2293251370020756
ADIYAMAN,2019,112.0934379553378,0.6217163456601594,0.3699453397865934,0.4323928635395073,0.225493248498469
ADIYAMAN,2020,101.90239768325702,0.6366881010599783,0.33520525553703046,0.4542274534091854,0.20860803421142102
ADIYAMAN,2021,114.42112736630756,0.6392964303402564,0.3776274830571203,0.4700371245039296,0.24437077119136671
ADIYAMAN,2022,94.01555620143814,0.5769563925590236,0.3102823637011162,0.4018523096693107,0.1892021820545251
ADIYAMAN,2023,120.3420452855153,0.6660811841205854,0.39716846628882896,0.4859982876436903,0.2516799389683152
ADIYAMAN,2024,114.68809259028514,0.6693247936140823,0.3772634624680444,0.4953010325952609,0.235963263435152
AFYONKARAHISAR,2005,97.3616034576328,0.5581954204547139,0.3213254239525838,0.4208178624877041,0.2125306329739242
AFYONKARAHISAR,2006,107.89539902178154,0.5806076703063747,0.3560904258144605,0.4365716998677844,0.23670359719543674
AFYONKARAHISAR,2007,110.87089943498928,0.5488584107905317,0.3659105591913841,0.409309164803334,0.23712069700075528
AFYONKARAHISAR,2008,99.73738144461323,0.5381224388301153,0.3280834915941222,0.4049657841704354,0.2161573980777354
AFYONKARAHISAR,2009,127.8462114177427,0.6083698935625259,0.4219346911476655,0.4683594825775233,0.2847381430604873
AFYONKARAHISAR,2010,114.1937117035048,0.5670158361471284,0.3768769363151973,0.4311523415797779,0.2473704549543338
AFYONKARAHISAR,2011,124.31803328123898,0.6167728145291697,0.41029053888197675,0.4655439375326687,0.2714534719035442
AFYONKARAHISAR,2012,100.59311294357468,0.5404964950458794,0.3308983978407061,0.3935847118234503,0.2217706073729225
AFYONKARAHISAR,2013,114.27727124494277,0.6104411609016709,0.3771527103793491,0.4730999014823889,0.2517149457165507
AFYONKARAHISAR,2014,101.96297195857018,0.5440060087642996,0.33651145860914233,0.408878954140964,0.2239614130249988
AFYONKARAHISAR,2015,136.45978370126494,0.6363937611354672,0.45036232244641866,0.4743435282851224,0.2973448252988635
AFYONKARAHISAR,2016,105.11209383389198,0.56291323323413,0.345763466558855,0.4288432225269517,0.2316307385427476
AFYONKARAHISAR,2017,105.07846254481606,0.6117648825799182,0.3467936057584686,0.4588873481464562,0.2325229682165873
AFYONKARAHISAR,2018,124.05005983570652,0.631137193331541,0.4094061380716386,0.4878454081064178,0.2685849154135643
AFYONKARAHISAR,2019,119.28010368510212,0.5934529534883134,0.3936637085316902,0.456731790362643,0.2583270457423126
AFYONKARAHISAR,2020,108.93754989524572,0.6158639619952339,0.3583472036027815,0.4724041436179159,0.24137364653115634
AFYONKARAHISAR,2021,114.5785215823526,0.6008970083291487,0.3781469359153549,0.4673618574866109,0.2553599285161887
AFYONKARAHISAR,2022,108.81757658427712,0.5722098728070837,0.3591339161197268,0.4356281701895369,0.2416750431121903
AFYONKARAHISAR,2023,120.671610665717,0.6664030516216808,0.3982561408109466,0.5193065996256284,0.2648910781291344
AFYONKARAHISAR,2024,112.11683481455586,0.6002901584772184,0.3688053776794592,0.4632923101735158,0.24268653000788104
AGRI,2005,132.20687091554962,0.6472474629056223,0.4363263066519783,0.4664633680009106,0.2836018459662265
AGRI,2006,117.66648444107304,0.5983725269642454,0.388338232478788,0.4158377492660842,0.24710814924288263
AGRI,2007,138.09181226310815,0.6548099916527105,0.45574855532378905,0.47400841923866155,0.2915627267633294
AGRI,2008,121.19375948390078,0.6094898611948324,0.3986636825128322,0.4174150392012714,0.2534492947562931
AGRI,2009,141.34904434209972,0.6881882650694371,0.4664984961785471,0.47410887275103547,0.2943692020284298
AGRI,2010,133.4905705402154,0.6330005641795339,0.44056293907661903,0.4441973647918278,0.2766135426529798
AGRI,2011,136.89269184616953,0.693368021296722,0.4517910621985784,0.505015765094794,0.2923190391948079
AGRI,2012,139.80750959581383,0.6302800246055551,0.45989312367044,0.45074729793094637,0.3025100910588418
AGRI,2013,132.81920237521058,0.6808013993016624,0.4383472025584506,0.4912273813619591,0.2806424243184383
