province,province_norm,point_id,lat,lon
Adana,ADANA,1,36.95458025827457,35.23218358803664
Adana,ADANA,2,37.79114866980545,35.99405093306146
Adana,ADANA,3,36.597782784521456,35.474711631115625
Adana,ADANA,4,37.475063331681326,35.13907820771431
Adana,ADANA,5,37.548089527438485,35.85109114107146
Adiyaman,ADIYAMAN,1,37.88167227556869,37.8259746247067
Adiyaman,ADIYAMAN,2,37.96924052707529,38.893545839928144
Adiyaman,ADIYAMAN,3,37.5327735627561,38.04447524658301
Adiyaman,ADIYAMAN,4,37.893302882563034,38.96954990017664
Adiyaman,ADIYAMAN,5,37.9946506143618,38.895933138575565
Afyon,AFYONKARAHISAR,1,38.607460962859236,30.447116120788085
Afyon,AFYONKARAHISAR,2,38.708501254528,31.36758047930129
Afyon,AFYONKARAHISAR,3,38.645931428676214,31.433526401766844
Afyon,AFYONKARAHISAR,4,38.208260406150096,30.139588287234734
Afyon,AFYONKARAHISAR,5,38.69423148547681,30.99731000051478
Agri,AGRI,1,39.743424588159094,42.64617940725925
Agri,AGRI,2,39.37192174014592,42.62776155931519
Agri,AGRI,3,39.69613293079204,43.56469908678365
Agri,AGRI,4,39.002879658232644,42.78404725494131
Agri,AGRI,5,39.25323235190311,42.9897558824588
Aksaray,AKSARAY,1,38.31264291335333,34.29070622519377
Aksaray,AKSARAY,2,38.400308513799175,34.00995085968606
Aksaray,AKSARAY,3,38.46876978345322,34.339225122332465
Aksaray,AKSARAY,4,38.23895075082145,33.51363116716007
Aksaray,AKSARAY,5,38.256400808523836,33.89040652194693
Amasya,AMASYA,1,40.42133644224951,35.59775058884288
Amasya,AMASYA,2,40.77062261872504,35.16646557981308
Amasya,AMASYA,3,40.59493247833627,36.1822396373194
Amasya,AMASYA,4,40.850450899718574,35.02034570876212
Amasya,AMASYA,5,40.69319072069422,36.01795916346554
Ankara,ANKARA,1,39.20490605225601,33.51349010330544
Ankara,ANKARA,2,39.03387190465139,32.37084288171406
Ankara,ANKARA,3,39.96294010349598,31.755344248004203
Ankara,ANKARA,4,39.76196632162333,33.16837544814481
Ankara,ANKARA,5,39.74374947067812,33.21744596006966
Antalya,ANTALYA,1,37.27461545604387,30.15082003088471
Antalya,ANTALYA,2,37.081615453986124,31.068671710222937
Antalya,ANTALYA,3,36.51519906097968,29.936934579484646
Antalya,ANTALYA,4,36.397343440331845,29.66869113635898
Antalya,ANTALYA,5,36.88980678228264,30.395240469226962
Ardahan,ARDAHAN,1,40.84485174496721,42.59093628057143
Ardahan,ARDAHAN,2,41.506657891785224,42.5895850488938
Ardahan,ARDAHAN,3,41.278289059300654,42.6000254116066
Ardahan,ARDAHAN,4,40.7599477742894,42.572644982769525
Ardahan,ARDAHAN,5,41.18369838816266,43.403553312462385
Artvin,ARTVIN,1,41.31863830416549,41.835451364650886
Artvin,ARTVIN,2,40.9774312828557,41.29472565496052
Artvin,ARTVIN,3,41.01214708711636,41.76480275224061
Artvin,ARTVIN,4,41.21127304708196,42.20444216070161
Artvin,ARTVIN,5,40.88889035931395,41.734643156124726
Aydin,AYDIN,1,37.69159778472858,27.360100852494895
Aydin,AYDIN,2,37.55696372385851,27.7904022000518
Aydin,AYDIN,3,37.50566673447929,27.908826981488957
Aydin,AYDIN,4,37.671326834777695,27.85193069932616
Aydin,AYDIN,5,37.90517984396747,28.039078943378755
Balikesir,BALIKESIR,1,39.53433989315558,26.95187267886388
Balikesir,BALIKESIR,2,40.267633403854965,27.88858680128373
Balikesir,BALIKESIR,3,40.43783909940562,27.793452569019713
Balikesir,BALIKESIR,4,39.35415930697525,26.77128639921651
Balikesir,BALIKESIR,5,40.14939618775814,28.01635162521004
Bartin,BARTIN,1,41.63913437483821,32.55438129638529
Bartin,BARTIN,2,41.61884069960251,32.4052259441195
Bartin,BARTIN,3,41.51206417706454,32.251607931005715
Bartin,BARTIN,4,41.457627085693986,32.62004505215613
Bartin,BARTIN,5,41.714424917008174,32.31754411843475
Batman,BATMAN,1,38.44278435132854,41.64244389225334
Batman,BATMAN,2,37.66756165521767,41.26587336743024
Batman,BATMAN,3,38.25397532790819,41.607743281701175
Batman,BATMAN,4,37.8197345122792,41.595488269643106
Batman,BATMAN,5,38.50688428275928,41.48228565214668
Bayburt,BAYBURT,1,39.9954776622686,39.80494555242552
Bayburt,BAYBURT,2,40.31417045744751,39.956322959395706
Bayburt,BAYBURT,3,40.05289213822013,40.44454780940989
Bayburt,BAYBURT,4,40.092215238863254,40.35312929727827
Bayburt,BAYBURT,5,40.50985718078682,40.19336487408344
Bilecik,BILECIK,1,39.89038101570662,30.11308000962294
Bilecik,BILECIK,2,40.12836619411418,30.414615238037825
Bilecik,BILECIK,3,40.15504573738502,30.503241441511253
Bilecik,BILECIK,4,39.761233298040196,29.851577787510184
Bilecik,BILECIK,5,40.42892054786778,30.003614550208304
Bingol,BINGOL,1,39.3884606697386,41.02365887350174
Bingol,BINGOL,2,38.57457367324834,40.256905006734215
Bingol,BINGOL,3,39.41362345091533,41.001205749400484
Bingol,BINGOL,4,39.13069051893102,40.476929116377306
Bingol,BINGOL,5,39.41070416997091,41.044208907188356
Bitlis,BITLIS,1,38.8824100460336,42.888664659169144
Bitlis,BITLIS,2,38.87669462501249,43.00794330759811
Bitlis,BITLIS,3,38.29854501354761,42.30544977846691
Bitlis,BITLIS,4,38.39725785402992,42.61447621981
Bitlis,BITLIS,5,38.433703243723464,41.705231679767614
Bolu,BOLU,1,40.4267575673755,32.040214032588935
Bolu,BOLU,2,40.627157912453804,31.782567710449857
