province_norm,harvest_year,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm
ADANA,2005,13.420282894736843,18.705197368421054,8.844480263157896,446.544,16.528552631578947,8.205475007854508,34.862099999999984,-1.9425999999999999,38.0,29.0,231.0,0,13.332021739130433,18.667304347826086,8.417282608695652,144.724,19.89841304347826,4.750904732757961,27.526400000000002,1.6678,0.0,1.0,64.0
ADANA,2006,13.483440789473685,18.86367105263158,8.832749999999999,436.54999999999995,16.387993421052634,7.746406288887909,33.8602,-1.3573999999999997,50.0,24.0,229.0,1,13.816760869565215,19.03826086956522,8.986456521739129,117.54400000000001,19.375565217391305,4.602610323321114,29.560600000000004,2.6396,3.0,0.0,68.0
ADANA,2007,13.61508552631579,19.200980263157895,8.823072368421052,424.65000000000003,16.89927631578947,8.146862356152022,35.8025,-1.1714999999999995,53.0,23.0,237.0,2,13.553217391304347,19.112978260869568,8.412521739130435,138.12800000000001,19.737152173913046,5.1304033554472435,28.9415,2.4279999999999995,4.0,0.0,64.0
ADANA,2008,13.755134426229507,19.40585573770492,8.804963934426228,376.37000000000006,17.061527868852462,8.254004901029091,34.635200000000005,-2.7428,50.0,41.0,240.0,3,14.713434782608696,20.38328260869565,9.514086956521739,87.502,19.983391304347823,4.129160959137968,29.096300000000003,4.1951,2.0,0.0,70.0
ADANA,2009,13.503046052631577,18.68092763157895,8.957519736842107,492.16200000000003,16.228578947368423,7.632361501978405,33.568599999999996,-0.9570000000000002,46.0,22.0,216.0,4,12.614326086956517,17.693021739130437,7.791413043478261,167.424,19.784021739130434,4.65576842516491,27.9837,1.5061,1.0,3.0,61.0
ADANA,2010,14.513592105263157,19.509559210526316,10.133980263157895,541.174,15.689111842105262,7.313102970298921,33.8767,1.0506999999999997,42.0,12.0,218.0,5,14.29621739130435,19.59941304347826,9.344934782608695,125.672,19.59626086956522,4.135731052285324,27.7279,2.246,0.0,1.0,71.0
ADANA,2011,13.984934210526315,19.154440789473686,9.536361842105263,579.826,16.071019736842107,6.979847906719601,33.416399999999996,0.6191000000000001,36.0,10.0,216.0,6,12.416978260869564,17.235934782608695,7.915869565217391,213.962,18.665456521739134,3.937769318829307,24.805400000000002,0.9884999999999999,0.0,2.0,53.0
ADANA,2012,12.602983606557377,17.929737704918033,7.956688524590164,589.724,16.435239344262293,8.735311418716977,35.8736,-3.9688,49.0,43.0,216.0,7,12.554586956521735,17.5075,8.032956521739129,112.47800000000001,19.343695652173913,5.505429380410318,24.7793,-3.3556000000000004,0.0,9.0,66.0
ADANA,2013,14.144973684210527,19.09684210526316,9.784605263157896,642.816,16.310125,7.514481271397453,33.9282,0.22150000000000006,46.0,13.0,214.0,8,14.164195652173916,19.113521739130437,9.47436956521739,176.048,19.776630434782604,5.168519945094343,27.600500000000004,1.5587999999999997,0.0,2.0,62.0
ADANA,2014,14.247815789473686,19.95104605263158,9.53320394736842,266.46000000000004,16.895848684210524,7.018432171373626,33.941,0.046699999999999964,42.0,15.0,251.0,9,14.518195652173914,20.108978260869563,9.618673913043477,112.048,19.800065217391303,3.945206857455355,27.342100000000002,3.5302999999999995,0.0,2.0,71.0
